food ID,food,Caloric Value,Fat,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium
494,anchovy canned in oil,8,0.4,0,0,1.2,0,3.4,0.1
495,salmon canned,520,20.3,0,0,79.1,0,143.9,1.8
496,sardines in tomato sauce canned,165,9.3,0.5,0.4,18.6,0.009,54.3,0.4
497,sockeye salmon canned,563,24.9,0,0,79.5,0,266.2,1.4
498,tuna canned,102,2.4,0,0,18.9,0,33.6,0.3
499,pink salmon canned,530,20.4,0,0,80.9,0,226.1,1.7
500,cod canned,328,2.7,0,0,71,0,171.6,0.7
501,eastern oyster canned,110,4,6.3,0,11.4,0,89.1,0.2
502,chum salmon canned,520,20.3,0,0,79.1,0,143.9,0.3
503,tuna canned in oil,331,14.4,0,0,47.2,0,55.2,0.7
504,wild pink salmon oceans,320,16,0,0,0,0,0,0
505,shrimp canned,128,1.7,0,0,26.1,0,322.6,1.1
506,alaska king crab raw,144,1,0,0,31.5,0,72.2,1.4
507,scallops fried,64,3.2,6.4,0,2.6,0,18,0.2
508,shrimp cooked,7,0.092,0.013,0,1.3,0,11.6,0.012
509,clams fried,19,1,1,0,1.3,0,5.7,0.068
510,alaska king crab cooked,130,2.1,0,0,25.9,0,71,1.4
511,scallops cooked,11,0.058,0.5,0,2.1,0,4.1,0.06
512,squid fried,140,6,6.2,0,14.4,0,208,0.2
513,oyster raw,41,1.2,2.5,0,4.7,0,25,0.059
514,abalone,89,0.6,5.1,0,14.5,0,72.3,0.3
515,queen crab raw,25,0.3,0,0,5.2,0,15.6,0.2
516,whelk cooked,78,0.2,4.4,0,13.5,0,36.8,0.1
517,oyster cooked,41,1.2,2.5,0,4.7,0,25,0.066
518,eastern oyster cooked,8,0.2,0.7,0,0.7,0,3.7,0.038
519,blue mussels cooked,344,9,14.8,0,47.6,0,112,0.7
520,octopus raw,23,0.3,0.6,0,4.2,0,13.6,0.064
521,spiny lobster cooked,233,3.2,5.1,0,43,0,146.7,0.4
522,blue mussels raw,129,3.4,5.5,0,17.9,0,42,0.4
523,queen crab cooked,98,1.3,0,0,20.2,0,60.4,0.6
524,dungeness crab cooked,140,1.6,1.2,0,28.3,0,96.5,0.5
525,dungeness crab raw,140,1.6,1.2,0,28.4,0,96.2,0.5
526,shrimp fried,52,3.2,4.8,0.086,1.3,0.1,9.9,0.2
527,shrimp raw,4,0.023,0.041,0,0.7,0,6.3,0.083
528,blue crab cooked,71,0.6,0,0,15.2,0,82.5,0.3
529,shrimp imitation,29,0.4,2.6,0,3.5,0,10.2,0.2
530,conch baked,165,1.5,2.2,0,33.4,0,82.6,0.2
531,squid raw,26,0.4,0.9,0,4.4,0,65.9,0.09
532,scallop raw,10,0.091,0.5,0,1.8,0,3.6,0.057
533,lobster raw,116,1.1,0,0,24.8,0,190.5,0.6
534,scallop imitation,28,0.1,3,0,3.6,0,6.2,0.2
535,blue crab raw,18,0.2,0.018,0,3.8,0,16.4,0.079
536,whelk raw,39,0.1,2.2,0,6.7,0,18.4,0.073
537,spiny lobster raw,234,3.2,5.1,0,43.1,0,146.3,0.4
538,clams canned,227,2.5,9.4,0,38.8,0,80,0.2
539,lobster cooked,134,1.3,0,0,28.5,0,219,0.7
540,eastern oyster fried,29,1.8,1.7,0,1.3,0,10.4,0.015
541,clams raw,195,2.2,8.1,0,33.3,0,68.1,1.4
542,octopus cooked,139,1.8,3.7,0,25.3,0,81.6,0.4
543,eastern oyster raw,8,0.2,0.8,0,0.7,0,3.5,0.021
544,oyster fried,61,3,6.7,0,2.1,0,18.1,0.1
545,sturgeon smoked,49,1.2,0,0,8.8,0,22.6,0.2
546,chinook salmon smoked,159,5.9,0,0,24.9,0,31.3,1.1
547,cisco smoked,50,3.4,0,0,4.6,0,9.1,0.1
548,haddock smoked,33,0.3,0,0,7.1,0,21.8,0.2
549,whitefish smoked,147,1.3,0,0,31.8,0,44.9,1.4
550,red salmon sockeye filets smoked,373,12.3,0,0,65.5,0,167.4,0.065
551,egg boiled,93,6.4,0.7,0.7,7.5,0,223.8,0.042
552,pecan pie,503,27.1,63.7,0,6,0,106.1,0.3
553,apple pie,331,15.6,46.4,0,3,0,0,0.3
554,vanilla wafer pie crust,935,63.7,88.4,12.9,6.5,0.2,68.6,0.9
555,chocolate pie crust,881,40.8,117.4,47.9,11.1,4.9,0,0.9
556,apple strudel,195,8,29.2,18.3,2.3,1.6,4.3,0.02
557,chocolate snack cake,200,8,30.2,18.9,1.8,1.6,0,0.2
558,fruit fried pie,404,20.6,54.5,27.4,3.8,3.3,0,0.4
559,pumpkin pie,316,14.4,40.9,0,7,0,65.1,0.3
560,corn cake,35,0.2,7.5,2.1,0.7,0.2,0,0.01
561,sponge snack cake,157,4.8,26.9,15.7,1.5,0.4,17.2,0.2
562,danish pastry with nuts,280,16.4,29.7,16.8,4.6,1.3,29.9,0.2
563,chocolate cream pie,301,19.2,33.3,0,2.6,2,5,0.1
564,angel food cake,72,0.2,16.2,0,1.7,0.4,0,0.2
565,lemon meringue pie,362,16.4,49.7,0,4.8,0,67.3,0.3
566,danish pastry with cinnamon,349,16.7,46.9,0,4.8,0,27.3,0.3
567,cinnamon coffeecake,238,13.3,26.6,0,3.9,1.1,18.2,0.2
568,cheesecake,257,18,20.4,17.4,4.4,0.3,44,0.4
569,fruitcake,139,3.9,26.5,11.8,1.2,1.6,2.2,0.013
570,egg custard,293,12.9,31,31,14.2,0,236.9,0.2
571,mince pie,477,17.8,79.2,46.7,4.3,4.3,0,0.4
572,yellow cake with chocolate frosting,546,25.6,79.7,56.5,4.6,2.2,23,0.4
573,danish pastry with fruit,335,15.9,45.1,0,4.8,0,18.8,0.3
574,white cake with coconut frosting,399,11.5,70.8,64.3,4.9,1.1,1.1,0.3
575,danish pastry with cheese,353,24.6,28.7,0,5.8,0,20,0.3
576,graham cracker pie crust,917,45.4,117.7,33.2,9.3,3.5,0,0.9
577,blueberry pie,360,17.5,49.2,0,4,0,0,0.3
578,yellow cake with vanilla frosting,239,9.3,37.6,0,2.2,0.2,35.2,0.2
579,pie crust,121,8,10.9,0.045,1.5,0.4,0,0.1
580,chocolate cake with chocolate frosting,537,27.7,72.9,55.1,4.8,3,30.4,0.5
581,cheese coffeecake,258,11.6,33.7,0,5.3,0.8,64.6,0.3
582,vanilla cream pie,350,18.1,41.1,16,6,0.8,78.1,0.3
583,pineapple cake,367,13.9,58.1,0,4,0.9,25.3,0.4
584,peach pie,262,11.7,38.5,19,2.2,0.9,0,0.3
585,fruit coffeecake,156,5.1,25.8,0,2.6,1.3,3.5,0.2
586,pound cake,116,6,14.6,0,1.7,0.2,66.3,0.1
587,pound cake bread,215,9.6,28.2,10,3.9,0.9,0,0.2
588,white cake,264,9.2,42.3,26.3,4,0.6,1.5,0.2
589,coffeecake with chocolate frosting,298,9.7,48.4,0,4.5,1.8,62.1,0.3
590,popcorn cake,38,0.3,8,0.001,1,0.3,0,0.05
